Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Australia;AUS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 17.332,33 ; 17.784,36 ; 18.176,89 ; 19.118,87 ; 20.051,38 ; 20.878,66 ; 21.957,40 ; 22.924,92 ; 24.172,68 ; 25.264,36 ; 26.318,42 ; 27.356,53 ; 28.718,24 ; 29.732,13 ; 31.299,85 ; 32.575,07 ; 34.290,52 ; 36.546,47 ; 37.459,31 ; 40.301,96 ; 39.301,60 ; 41.965,36 ; 42.826,79 ; 45.902,05 ; 46.880,22 ; 46.276,15 ; 47.349,93 ; 48.905,42 ; 51.036,41 ; 53.320,27 
Austria;AUT;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 19.436,76 ; 20.579,14 ; 21.253,56 ; 21.692,13 ; 22.600,40 ; 23.653,66 ; 24.516,65 ; 25.418,15 ; 26.674,52 ; 27.606,48 ; 29.387,03 ; 29.715,51 ; 31.178,69 ; 32.109,14 ; 33.743,20 ; 35.013,71 ; 37.616,74 ; 39.389,69 ; 41.316,23 ; 40.957,50 ; 42.037,49 ; 44.452,73 ; 46.457,35 ; 47.922,05 ; 48.799,72 ; 49.879,27 ; 52.633,25 ; 54.637,00 ; 56.871,21 ; 59.110,56 
Azerbaijan;AZE;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 5.360,07 ; 5.417,79 ; 4.224,44 ; 3.275,42 ; 2.650,26 ; 2.359,22 ; 2.409,19 ; 2.567,99 ; 2.829,60 ; 3.055,93 ; 3.442,63 ; 3.836,60 ; 4.233,44 ; 4.716,38 ; 5.245,43 ; 6.850,81 ; 9.387,11 ; 11.957,39 ; 13.200,94 ; 14.248,89 ; 14.926,64 ; 14.804,57 ; 15.957,72 ; 17.188,95 ; 17.443,88 ; 14.938,40 ; 14.371,02 ; 14.121,41 ; 14.544,95 ; 15.000,82 
Burundi;BDI;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 615,07 ; 652,53 ; 659,84 ; 621,04 ; 599,57 ; 555,37 ; 514,02 ; 509,36 ; 534,02 ; 529,28 ; 527,08 ; 537,36 ; 554,95 ; 541,76 ; 565,04 ; 569,27 ; 598,51 ; 615,23 ; 636,33 ; 644,10 ; 663,05 ; 681,97 ; 690,69 ; 740,98 ; 777,04 ; 841,65 ; 796,94 ; 773,57 ; 779,49 ; 782,82 
Belgium;BEL;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 18.653,80 ; 19.565,28 ; 20.235,20 ; 20.435,41 ; 21.479,01 ; 22.405,37 ; 22.704,00 ; 23.724,27 ; 24.368,44 ; 25.440,84 ; 27.794,98 ; 28.800,39 ; 30.282,29 ; 30.899,07 ; 32.034,02 ; 33.177,89 ; 35.216,65 ; 36.752,98 ; 37.883,33 ; 37.785,87 ; 39.866,73 ; 40.942,37 ; 42.290,76 ; 43.671,12 ; 44.929,69 ; 46.213,27 ; 48.608,96 ; 50.725,19 ; 52.249,57 ; 54.545,15 
Benin;BEN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.259,57 ; 1.312,13 ; 1.334,48 ; 1.396,08 ; 1.405,71 ; 1.472,63 ; 1.516,00 ; 1.581,94 ; 1.614,63 ; 1.675,25 ; 1.759,72 ; 1.837,80 ; 1.895,00 ; 1.936,88 ; 2.015,64 ; 2.052,53 ; 2.135,26 ; 2.258,49 ; 2.347,92 ; 2.353,63 ; 2.364,12 ; 2.416,33 ; 2.498,50 ; 2.669,69 ; 2.833,41 ; 2.886,83 ; 3.004,81 ; 3.044,51 ; 3.235,36 ; 3.423,55 
Burkina Faso;BFA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 589,90 ; 647,60 ; 646,26 ; 666,17 ; 670,79 ; 704,40 ; 774,59 ; 814,72 ; 859,66 ; 910,58 ; 921,94 ; 976,16 ; 1.005,43 ; 1.072,47 ; 1.117,47 ; 1.215,57 ; 1.291,49 ; 1.339,74 ; 1.401,96 ; 1.411,13 ; 1.502,10 ; 1.586,57 ; 1.619,40 ; 1.683,11 ; 1.692,30 ; 1.713,52 ; 1.893,70 ; 2.053,50 ; 2.181,85 ; 2.280,38 
Bangladesh;BGD;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 850,50 ; 889,00 ; 937,57 ; 983,45 ; 1.021,43 ; 1.073,10 ; 1.118,10 ; 1.163,62 ; 1.212,19 ; 1.261,34 ; 1.331,55 ; 1.403,13 ; 1.453,26 ; 1.523,80 ; 1.620,42 ; 1.753,87 ; 1.901,72 ; 2.065,15 ; 2.206,51 ; 2.309,56 ; 2.439,07 ; 2.620,82 ; 2.937,59 ; 3.143,52 ; 3.368,00 ; 3.555,51 ; 3.849,11 ; 4.161,09 ; 4.546,23 ; 4.950,74 
Bulgaria;BGR;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 7.536,99 ; 7.204,82 ; 6.906,89 ; 7.021,66 ; 7.326,81 ; 7.728,75 ; 6.836,63 ; 5.748,48 ; 6.177,59 ; 5.807,82 ; 6.424,40 ; 6.961,94 ; 7.786,39 ; 8.407,79 ; 9.193,16 ; 10.291,47 ; 11.394,35 ; 12.798,09 ; 14.335,70 ; 14.188,17 ; 14.872,37 ; 15.661,20 ; 16.241,63 ; 16.581,77 ; 17.555,50 ; 18.341,96 ; 19.885,78 ; 21.363,03 ; 22.601,40 ; 24.561,18 
Bahrain;BHR;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 26.875,60 ; 30.066,26 ; 31.972,89 ; 36.038,63 ; 35.822,76 ; 37.059,52 ; 38.272,79 ; 39.039,63 ; 40.104,85 ; 40.910,65 ; 42.181,84 ; 42.094,88 ; 41.932,24 ; 42.860,48 ; 44.185,45 ; 45.400,50 ; 46.200,88 ; 47.533,09 ; 47.847,79 ; 46.498,80 ; 46.873,10 ; 47.377,57 ; 50.675,58 ; 51.494,41 ; 51.101,90 ; 45.686,25 ; 44.790,09 ; 47.642,45 ; 47.333,49 ; 46.891,86 
Bahamas, The;BHS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 21.497,16 ; 20.904,38 ; 20.174,73 ; 20.331,12 ; 21.048,22 ; 22.083,25 ; 23.124,25 ; 23.725,71 ; 24.844,32 ; 26.685,37 ; 28.033,63 ; 28.957,04 ; 29.715,52 ; 29.362,61 ; 29.869,40 ; 31.260,83 ; 32.401,65 ; 33.117,47 ; 32.373,31 ; 30.728,55 ; 31.090,26 ; 31.522,61 ; 32.216,49 ; 31.855,30 ; 32.562,33 ; 33.542,15 ; 34.182,60 ; 35.308,41 ; 36.338,25 ; 37.265,81 
Bosnia and Herzegovina;BIH;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;; 953,14 ; 1.208,52 ; 2.365,33 ; 3.258,12 ; 3.810,54 ; 4.226,45 ; 4.549,08 ; 4.751,14 ; 5.136,51 ; 5.373,22 ; 6.200,65 ; 6.479,68 ; 7.405,06 ; 8.188,02 ; 9.028,82 ; 9.037,34 ; 9.354,55 ; 9.976,50 ; 10.304,07 ; 11.016,54 ; 11.433,16 ; 12.013,92 ; 12.990,02 ; 13.788,48 ; 14.932,37 ; 15.791,67 
Belarus;BLR;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 5.232,08 ; 5.341,49 ; 4.928,11 ; 4.650,99 ; 4.199,44 ; 3.854,03 ; 4.047,99 ; 4.606,72 ; 5.073,96 ; 5.344,66 ; 5.808,36 ; 6.248,21 ; 6.709,85 ; 7.367,19 ; 8.489,48 ; 9.642,43 ; 10.994,77 ; 12.317,46 ; 13.885,75 ; 14.050,88 ; 15.349,23 ; 16.543,04 ; 18.071,51 ; 18.948,47 ; 18.955,91 ; 18.041,24 ; 17.725,75 ; 18.280,20 ; 19.330,87 ; 19.943,29 
Belize;BLZ;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 3.335,08 ; 3.771,22 ; 4.251,23 ; 4.547,88 ; 4.558,74 ; 4.564,74 ; 4.566,85 ; 4.638,42 ; 4.682,98 ; 4.978,58 ; 5.558,71 ; 5.765,93 ; 5.963,82 ; 6.467,83 ; 6.781,74 ; 6.945,53 ; 7.307,06 ; 7.347,22 ; 7.554,68 ; 7.439,09 ; 7.563,96 ; 7.684,82 ; 7.272,87 ; 7.226,99 ; 7.170,53 ; 7.244,39 ; 7.179,46 ; 7.108,87 ; 7.287,08 ; 7.295,23 
Bermuda;BMU;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 29.458,45 ; 29.530,09 ; 30.404,47 ; 31.889,81 ; 32.539,61 ; 34.436,09 ; 35.749,36 ; 37.807,26 ; 39.433,15 ; 41.124,85 ; 45.554,17 ; 49.379,79 ; 49.099,09 ; 51.379,34 ; 53.635,84 ; 55.869,63 ; 60.404,00 ; 63.433,00 ; 65.267,64 ; 61.945,56 ; 61.837,43 ; 61.550,22 ; 58.563,35 ; 59.474,60 ;;;;;;
Bolivia;BOL;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 2.374,68 ; 2.530,24 ; 2.575,60 ; 2.692,08 ; 2.818,56 ; 2.950,81 ; 3.072,64 ; 3.215,09 ; 3.347,61 ; 3.344,23 ; 3.437,62 ; 3.504,74 ; 3.580,82 ; 3.677,64 ; 3.863,45 ; 4.086,37 ; 4.335,38 ; 4.575,66 ; 4.868,44 ; 4.986,46 ; 5.167,11 ; 5.460,26 ; 5.921,65 ; 6.624,81 ; 7.056,83 ; 7.133,87 ; 7.499,78 ; 8.423,70 ; 8.859,77 ; 9.086,06 
