Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Cameroon;CMR;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.855,41 ; 1.790,71 ; 1.723,40 ; 1.578,26 ; 1.600,54 ; 1.644,93 ; 1.701,70 ; 1.774,15 ; 1.826,60 ; 1.882,78 ; 1.941,70 ; 2.017,01 ; 2.079,76 ; 2.156,69 ; 2.302,12 ; 2.357,05 ; 2.444,75 ; 2.562,26 ; 2.629,89 ; 2.634,68 ; 2.681,89 ; 2.773,90 ; 2.855,45 ; 3.002,61 ; 3.185,36 ; 3.260,52 ; 3.405,06 ; 3.554,53 ; 3.688,58 ; 3.804,07 
Congo, Dem. Rep.;COD;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 882,77 ; 805,60 ; 709,29 ; 604,31 ; 571,96 ; 569,33 ; 557,97 ; 522,63 ; 508,07 ; 481,91 ; 447,08 ; 435,08 ; 441,82 ; 460,77 ; 489,42 ; 518,84 ; 545,15 ; 575,75 ; 603,29 ; 604,84 ; 633,91 ; 668,94 ; 669,57 ; 753,49 ; 849,76 ; 905,45 ; 963,67 ; 1.059,81 ; 1.111,52 ; 1.143,45 
Congo, Rep.;COG;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 3.231,39 ; 3.328,09 ; 3.397,95 ; 3.350,30 ; 3.144,84 ; 3.246,02 ; 3.350,42 ; 3.290,67 ; 3.353,41 ; 3.219,33 ; 3.439,91 ; 3.546,38 ; 3.662,32 ; 3.654,11 ; 3.768,41 ; 4.057,37 ; 4.295,73 ; 4.194,63 ; 4.362,16 ; 4.571,13 ; 4.878,07 ; 5.008,39 ; 4.897,75 ; 4.761,55 ; 4.700,53 ; 3.338,90 ; 3.397,56 ; 3.448,54 ; 3.494,99 ; 3.434,76 
Colombia;COL;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 5.012,22 ; 5.182,77 ; 5.408,87 ; 5.724,02 ; 6.070,67 ; 6.401,81 ; 6.535,53 ; 6.758,27 ; 6.758,53 ; 6.460,91 ; 6.690,37 ; 6.843,74 ; 7.018,08 ; 7.319,54 ; 7.806,05 ; 8.324,76 ; 9.035,57 ; 9.781,97 ; 10.179,24 ; 10.258,97 ; 10.731,65 ; 11.604,01 ; 12.018,36 ; 12.727,28 ; 13.307,00 ; 13.265,80 ; 13.952,14 ; 14.316,49 ; 14.965,90 ; 15.643,73 
Comoros;COM;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.587,43 ; 1.507,59 ; 1.625,27 ; 1.664,87 ; 1.565,38 ; 1.610,22 ; 1.574,69 ; 1.622,16 ; 1.618,15 ; 1.630,51 ; 1.801,77 ; 1.838,38 ; 1.865,27 ; 1.894,21 ; 1.936,01 ; 2.004,63 ; 2.069,89 ; 2.091,76 ; 2.165,07 ; 2.197,81 ; 2.252,89 ; 2.337,06 ; 2.511,49 ; 2.636,49 ; 2.716,83 ; 2.709,60 ; 2.863,87 ; 3.032,25 ; 3.139,21 ; 3.209,09 
Cabo Verde;CPV;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.063,56 ; 1.088,31 ; 1.201,79 ; 1.299,78 ; 1.538,67 ; 1.748,31 ; 1.935,97 ; 2.141,08 ; 2.387,45 ; 2.642,87 ; 3.032,13 ; 3.113,10 ; 3.273,98 ; 3.420,16 ; 3.813,71 ; 4.146,08 ; 4.552,24 ; 5.316,93 ; 5.711,32 ; 5.613,70 ; 5.692,43 ; 5.966,87 ; 5.818,97 ; 5.792,83 ; 5.748,17 ; 5.994,37 ; 6.322,84 ; 6.643,20 ; 7.026,12 ; 7.469,08 
Costa Rica;CRI;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 5.057,54 ; 5.209,02 ; 5.668,23 ; 6.055,72 ; 6.300,89 ; 6.534,35 ; 6.575,34 ; 6.896,55 ; 7.293,12 ; 7.528,77 ; 7.836,93 ; 8.141,05 ; 8.402,80 ; 8.787,79 ; 9.279,56 ; 9.799,04 ; 10.677,01 ; 11.699,90 ; 12.318,46 ; 12.135,25 ; 12.725,15 ; 13.387,57 ; 14.091,53 ; 14.651,15 ; 15.622,93 ; 16.586,35 ; 18.008,60 ; 19.112,41 ; 19.873,14 ; 20.434,41 
Caribbean small states;CSS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 6.033,24 ; 6.317,43 ; 6.602,38 ; 6.911,32 ; 7.187,57 ; 7.482,54 ; 7.817,02 ; 8.144,30 ; 8.414,38 ; 8.825,99 ; 9.300,65 ; 9.647,58 ; 10.113,61 ; 10.901,87 ; 11.601,90 ; 12.323,23 ; 13.534,03 ; 14.283,92 ; 14.692,58 ; 14.180,77 ; 14.461,65 ; 14.824,17 ; 14.778,91 ; 15.021,54 ; 15.138,20 ; 14.836,10 ; 14.785,42 ; 15.238,58 ; 15.727,04 ; 16.050,53 
Cuba;CUB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curacao;CUW;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;; 22.701,96 ; 23.897,75 ; 24.342,34 ; 24.358,35 ; 24.637,58 ; 24.932,89 ; 25.445,70 ; 26.251,05 ; 27.005,29 ; 26.890,92 ; 26.884,27 ; 27.224,40 ; 26.175,49 ; 25.921,16 ; 25.379,30 ; 25.090,21 ; 24.808,40 ; 25.475,49 ; 25.571,65 ;
Cayman Islands;CYM;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;; 71.391,17 ; 73.399,69 ; 72.405,00 ; 65.885,14 ; 63.298,18 ; 64.013,64 ; 62.801,23 ; 62.441,05 ; 63.067,42 ; 64.230,41 ; 66.490,49 ; 69.420,51 ; 72.480,51 ;
Cyprus;CYP;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 13.323,85 ; 13.521,71 ; 14.732,65 ; 14.824,92 ; 15.706,60 ; 17.064,74 ; 17.288,67 ; 17.774,64 ; 18.758,48 ; 19.662,69 ; 21.296,58 ; 22.871,59 ; 23.556,24 ; 24.253,16 ; 25.921,35 ; 27.763,28 ; 29.979,16 ; 32.847,47 ; 34.830,17 ; 33.917,49 ; 33.445,91 ; 33.313,58 ; 31.834,68 ; 30.375,11 ; 30.042,83 ; 31.722,22 ; 35.388,83 ; 37.766,90 ; 39.737,33 ; 41.254,40 
Czech Republic;CZE;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 12.656,24 ; 11.592,31 ; 11.784,38 ; 12.058,51 ; 12.669,74 ; 13.748,59 ; 14.575,97 ; 14.727,19 ; 14.906,36 ; 15.324,11 ; 16.194,63 ; 17.554,66 ; 18.189,23 ; 19.426,39 ; 20.799,25 ; 21.956,38 ; 23.772,47 ; 26.122,99 ; 27.844,80 ; 27.620,20 ; 27.688,14 ; 28.797,42 ; 29.047,25 ; 30.485,71 ; 32.263,32 ; 33.691,42 ; 35.876,73 ; 38.489,50 ; 40.389,36 ; 42.575,61 
Germany;DEU;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 19.427,51 ; 20.957,20 ; 21.682,59 ; 21.834,92 ; 22.756,91 ; 23.521,44 ; 24.035,44 ; 24.564,41 ; 25.344,59 ; 26.291,21 ; 27.209,23 ; 28.380,66 ; 29.178,64 ; 29.875,49 ; 31.305,43 ; 31.794,10 ; 34.119,12 ; 36.249,77 ; 37.802,39 ; 36.851,28 ; 38.978,74 ; 42.541,53 ; 43.359,61 ; 44.993,89 ; 47.011,55 ; 47.683,79 ; 50.564,25 ; 53.011,77 ; 54.456,93 ; 56.052,42 
Djibouti;DJI;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;; 4.103,96 ; 4.289,09 ; 4.574,47 ; 4.692,58 ; 4.885,22 ; 5.337,12 ; 5.748,08 
Dominica;DMA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 4.299,05 ; 4.507,16 ; 4.692,12 ; 4.887,26 ; 4.978,42 ; 5.232,77 ; 5.506,58 ; 5.751,27 ; 6.071,09 ; 6.211,57 ; 6.516,26 ; 6.653,95 ; 6.551,44 ; 7.070,45 ; 7.452,33 ; 7.712,21 ; 8.300,59 ; 9.055,28 ; 9.884,29 ; 9.839,81 ; 10.017,62 ; 10.198,55 ; 9.945,29 ; 10.146,35 ; 10.910,30 ; 11.139,95 ; 11.949,53 ; 11.304,36 ; 11.805,55 ; 12.659,34 
Denmark;DNK;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 18.210,31 ; 19.039,03 ; 19.788,45 ; 20.192,08 ; 21.649,75 ; 22.654,58 ; 23.698,88 ; 24.920,00 ; 25.813,57 ; 26.653,82 ; 28.668,86 ; 29.449,91 ; 30.640,35 ; 30.786,73 ; 32.908,83 ; 34.150,16 ; 37.289,36 ; 38.965,67 ; 41.278,33 ; 40.370,23 ; 43.031,81 ; 44.403,38 ; 44.803,97 ; 46.726,85 ; 47.901,45 ; 49.058,50 ; 51.970,75 ; 55.064,91 ; 57.218,41 ; 59.830,15 
Dominican Republic;DOM;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 3.668,38 ; 3.756,15 ; 4.193,27 ; 4.524,40 ; 4.656,49 ; 4.937,33 ; 5.238,83 ; 5.708,19 ; 6.062,52 ; 6.414,74 ; 6.760,13 ; 6.973,54 ; 7.295,06 ; 7.226,72 ; 7.506,73 ; 8.356,01 ; 9.274,89 ; 10.098,69 ; 10.491,62 ; 10.539,40 ; 11.410,35 ; 11.869,13 ; 11.900,49 ; 12.482,16 ; 13.475,02 ; 14.740,82 ; 16.109,86 ; 16.735,33 ; 18.129,71 ; 19.182,41 
Algeria;DZA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 6.916,72 ; 6.893,12 ; 7.010,39 ; 6.871,42 ; 6.812,44 ; 7.083,01 ; 7.377,94 ; 7.466,14 ; 7.817,02 ; 8.068,56 ; 8.446,86 ; 8.775,40 ; 9.294,14 ; 10.019,68 ; 10.591,37 ; 11.406,01 ; 11.776,42 ; 12.311,43 ; 12.643,56 ; 12.722,79 ; 13.095,87 ; 13.500,48 ; 13.303,42 ; 13.056,79 ; 13.003,19 ; 12.015,65 ; 11.624,32 ; 11.550,56 ; 11.750,38 ; 11.820,09 
East Asia & Pacific (excluding high income);EAP;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.446,44 ; 1.586,28 ; 1.763,59 ; 1.966,64 ; 2.185,90 ; 2.414,36 ; 2.641,89 ; 2.833,46 ; 2.854,58 ; 3.032,08 ; 3.294,43 ; 3.551,36 ; 3.849,13 ; 4.218,30 ; 4.670,75 ; 5.227,42 ; 5.899,81 ; 6.719,89 ; 7.359,19 ; 7.907,58 ; 8.703,92 ; 9.550,24 ; 10.355,35 ; 10.953,57 ; 11.464,03 ; 11.794,39 ; 12.313,17 ; 12.986,30 ; 14.049,70 ; 15.031,03 
Early-demographic dividend;EAR;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 2.915,53 ; 3.092,14 ; 3.229,89 ; 3.321,08 ; 3.426,54 ; 3.551,84 ; 3.746,86 ; 3.900,34 ; 3.860,26 ; 3.936,56 ; 4.137,68 ; 4.231,11 ; 4.307,98 ; 4.549,89 ; 4.904,48 ; 5.278,92 ; 5.712,31 ; 6.133,00 ; 6.421,16 ; 6.522,08 ; 6.929,90 ; 7.333,80 ; 7.704,23 ; 7.944,10 ; 8.166,75 ; 8.264,97 ; 8.552,93 ; 8.977,61 ; 9.444,80 ; 9.777,97 
East Asia & Pacific;EAS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 3.214,54 ; 3.460,51 ; 3.684,36 ; 3.924,93 ; 4.208,62 ; 4.524,94 ; 4.844,08 ; 5.098,02 ; 5.095,11 ; 5.333,02 ; 5.734,46 ; 6.032,78 ; 6.406,62 ; 6.823,87 ; 7.406,33 ; 8.059,48 ; 8.845,74 ; 9.781,83 ; 10.408,85 ; 10.809,83 ; 11.732,33 ; 12.620,67 ; 13.466,27 ; 14.173,57 ; 14.695,66 ; 15.114,12 ; 15.607,38 ; 16.334,37 ; 17.399,67 ; 18.443,49 
Europe & Central Asia (excluding high income);ECA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 7.047,74 ; 6.883,39 ; 6.341,00 ; 6.107,61 ; 5.507,38 ; 5.511,18 ; 5.586,40 ; 5.843,15 ; 5.342,80 ; 5.522,40 ; 6.189,18 ; 6.537,42 ; 6.998,15 ; 7.735,76 ; 8.639,74 ; 9.729,43 ; 11.626,77 ; 12.926,68 ; 14.788,72 ; 14.273,94 ; 15.276,54 ; 16.850,67 ; 17.856,12 ; 19.246,54 ; 19.657,11 ; 19.192,61 ; 19.570,02 ; 20.831,07 ; 22.204,78 ; 22.595,80 
Europe & Central Asia;ECS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 11.804,62 ; 12.095,90 ; 12.131,24 ; 12.215,87 ; 12.420,26 ; 12.907,22 ; 13.353,64 ; 13.948,63 ; 14.233,55 ; 14.783,16 ; 15.921,57 ; 16.724,51 ; 17.526,86 ; 18.180,44 ; 19.303,78 ; 20.346,80 ; 22.513,11 ; 24.125,58 ; 25.783,64 ; 25.080,12 ; 26.123,37 ; 27.663,19 ; 28.424,25 ; 29.721,71 ; 30.468,50 ; 30.891,09 ; 32.293,09 ; 34.069,87 ; 35.535,34 ; 36.828,27 
Ecuador;ECU;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 4.829,93 ; 5.087,44 ; 5.192,58 ; 5.299,18 ; 5.518,68 ; 5.636,99 ; 5.715,88 ; 5.940,07 ; 6.077,54 ; 5.758,07 ; 5.838,90 ; 6.094,35 ; 6.332,19 ; 6.513,30 ; 7.117,17 ; 7.598,95 ; 8.037,88 ; 8.294,64 ; 8.845,55 ; 8.818,67 ; 9.090,31 ; 9.857,52 ; 10.311,40 ; 11.153,68 ; 11.713,17 ; 11.060,29 ; 11.034,27 ; 11.617,91 ; 11.834,57 ; 11.846,78 
Egypt, Arab Rep.;EGY;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 3.713,49 ; 3.795,06 ; 3.969,29 ; 4.096,45 ; 4.263,64 ; 4.464,64 ; 4.678,06 ; 4.920,25 ; 5.149,26 ; 5.431,89 ; 5.794,13 ; 6.015,10 ; 6.139,68 ; 6.334,57 ; 6.648,43 ; 7.033,92 ; 7.606,76 ; 8.219,48 ; 8.820,72 ; 9.131,50 ; 9.522,51 ; 9.686,05 ; 11.092,74 ; 11.221,38 ; 10.895,94 ; 11.512,40 ; 11.192,37 ; 11.014,49 ; 11.634,55 ; 12.250,78 
Euro area;EMU;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 16.983,29 ; 17.941,64 ; 18.518,07 ; 18.752,19 ; 19.566,21 ; 20.413,37 ; 21.041,12 ; 21.908,82 ; 22.960,50 ; 23.840,95 ; 25.323,71 ; 26.504,75 ; 27.533,84 ; 27.953,21 ; 29.051,46 ; 30.076,75 ; 32.494,85 ; 34.382,71 ; 35.709,63 ; 34.821,29 ; 35.795,60 ; 37.435,68 ; 37.801,91 ; 38.981,95 ; 39.949,92 ; 41.058,21 ; 43.532,32 ; 45.748,61 ; 47.283,04 ; 49.237,37 
Eritrea;ERI;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;; 813,96 ; 953,37 ; 1.191,11 ; 1.258,91 ; 1.405,61 ; 1.543,83 ; 1.580,78 ; 1.581,61 ; 1.528,58 ; 1.640,00 ; 1.642,46 ; 1.553,45 ; 1.547,73 ; 1.575,14 ; 1.556,66 ; 1.578,90 ; 1.420,74 ; 1.459,83 ; 1.485,20 ; 1.625,51 ;;;;;;;;
Spain;ESP;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 13.660,53 ; 14.445,25 ; 14.838,89 ; 14.956,01 ; 15.565,14 ; 16.257,80 ; 16.949,41 ; 17.906,72 ; 19.096,25 ; 19.954,29 ; 21.592,34 ; 22.959,01 ; 24.371,60 ; 25.018,76 ; 26.119,93 ; 27.606,93 ; 30.683,16 ; 32.435,78 ; 33.263,27 ; 32.123,25 ; 31.703,87 ; 31.867,97 ; 31.720,12 ; 32.434,00 ; 33.525,74 ; 34.912,48 ; 37.282,44 ; 39.575,54 ; 40.482,59 ; 42.214,13 
Estonia;EST;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;; 5.794,28 ; 5.946,62 ; 6.460,46 ; 6.870,96 ; 7.966,31 ; 8.438,26 ; 8.419,57 ; 9.437,24 ; 10.326,29 ; 11.670,37 ; 13.123,03 ; 14.521,36 ; 16.624,91 ; 19.310,00 ; 22.168,65 ; 22.830,09 ; 20.613,56 ; 21.809,42 ; 24.777,47 ; 26.190,55 ; 27.642,59 ; 29.135,70 ; 29.397,13 ; 31.231,47 ; 33.820,92 ; 36.358,03 ; 38.811,14 
Ethiopia;ETH;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 415,02 ; 384,60 ; 346,58 ; 387,33 ; 394,27 ; 413,22 ; 458,33 ; 466,47 ; 442,22 ; 458,31 ; 482,88 ; 519,27 ; 520,34 ; 503,97 ; 571,40 ; 640,66 ; 711,59 ; 792,35 ; 870,72 ; 928,63 ; 1.028,32 ; 1.134,78 ; 1.213,60 ; 1.283,57 ; 1.513,70 ; 1.657,35 ; 1.878,81 ; 2.021,56 ; 2.153,15 ; 2.311,70 
European Union;EUU;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 14.797,17 ; 15.467,06 ; 15.932,32 ; 16.175,12 ; 16.920,60 ; 17.724,06 ; 18.315,50 ; 19.059,06 ; 19.964,39 ; 20.742,51 ; 22.078,02 ; 23.172,69 ; 24.182,18 ; 24.674,82 ; 25.835,05 ; 26.808,37 ; 29.085,16 ; 30.994,51 ; 32.483,90 ; 31.836,17 ; 32.871,07 ; 34.465,42 ; 34.937,29 ; 36.087,54 ; 37.076,06 ; 38.227,80 ; 40.553,15 ; 42.792,25 ; 44.386,67 ; 46.467,45 
Fragile and conflict affected situations;FCS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.960,26 ; 2.067,02 ; 2.180,09 ; 2.221,99 ; 2.213,38 ; 2.259,77 ; 2.337,04 ; 2.471,03 ; 2.608,20 ; 2.651,25 ; 2.735,33 ; 2.834,93 ; 2.847,90 ; 2.760,93 ; 3.152,92 ; 3.403,83 ; 3.673,24 ; 3.918,51 ; 4.131,06 ; 4.223,97 ; 4.394,66 ; 4.369,59 ; 4.686,01 ; 4.843,07 ; 4.907,89 ; 4.687,62 ; 4.598,70 ; 4.756,03 ; 4.880,14 ; 4.962,04 
Finland;FIN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 18.132,65 ; 17.541,46 ; 17.248,16 ; 17.450,53 ; 18.444,74 ; 19.550,96 ; 20.051,91 ; 21.787,15 ; 23.576,49 ; 24.767,28 ; 26.794,75 ; 27.807,57 ; 28.605,12 ; 29.019,77 ; 31.173,45 ; 32.051,79 ; 34.413,57 ; 37.799,04 ; 40.083,70 ; 38.008,82 ; 38.982,53 ; 40.916,84 ; 40.873,10 ; 41.493,14 ; 41.757,40 ; 42.509,13 ; 44.929,91 ; 47.481,21 ; 49.373,18 ; 51.323,83 
Fiji;FJI;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 4.200,88 ; 4.186,44 ; 4.487,71 ; 4.626,67 ; 4.897,41 ; 5.060,22 ; 5.338,52 ; 5.255,16 ; 5.333,47 ; 5.841,72 ; 5.836,74 ; 6.062,24 ; 6.344,81 ; 6.520,71 ; 7.035,78 ; 7.272,44 ; 7.573,55 ; 7.634,12 ; 7.777,69 ; 7.653,44 ; 7.914,08 ; 8.263,06 ; 8.839,47 ; 9.536,26 ; 11.346,87 ; 12.412,42 ; 12.632,01 ; 13.429,32 ; 14.133,89 ; 14.427,58 
France;FRA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 17.619,21 ; 18.304,26 ; 18.926,46 ; 19.169,85 ; 19.966,48 ; 20.739,55 ; 21.320,53 ; 22.236,25 ; 23.359,01 ; 24.307,50 ; 26.100,40 ; 27.501,81 ; 28.523,89 ; 28.141,91 ; 29.034,12 ; 30.498,58 ; 32.429,39 ; 34.085,87 ; 35.095,26 ; 34.711,45 ; 35.926,91 ; 37.440,64 ; 37.679,12 ; 39.523,85 ; 40.144,03 ; 40.860,91 ; 42.920,27 ; 44.826,51 ; 46.605,19 ; 49.435,18 
Faroe Islands;FRO;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.770,81 ; 1.917,51 ; 1.987,12 ; 2.146,33 ; 2.136,95 ; 2.302,25 ; 2.253,20 ; 2.149,98 ; 2.241,77 ; 2.314,53 ; 2.489,40 ; 2.604,71 ; 2.663,93 ; 2.759,39 ; 2.753,50 ; 2.910,79 ; 3.018,00 ; 3.069,17 ; 3.080,08 ; 3.154,79 ; 3.265,69 ; 3.422,29 ; 3.388,22 ; 3.276,30 ; 3.215,17 ; 3.354,51 ; 3.380,74 ; 3.497,92 ; 3.550,42 ;
Gabon;GAB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 12.395,62 ; 13.231,68 ; 12.764,49 ; 13.223,86 ; 13.643,65 ; 14.249,37 ; 14.657,87 ; 15.374,18 ; 15.693,00 ; 14.147,01 ; 13.852,34 ; 14.117,76 ; 13.968,77 ; 14.199,24 ; 14.315,04 ; 14.755,38 ; 14.366,11 ; 15.187,82 ; 14.517,83 ; 14.177,15 ; 14.837,07 ; 15.638,69 ; 15.356,19 ; 15.114,37 ; 15.370,98 ; 14.699,57 ; 14.286,25 ; 15.006,76 ; 15.091,29 ; 15.486,07 
United Kingdom;GBR;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 16.818,96 ; 17.145,48 ; 17.553,74 ; 18.379,48 ; 19.453,52 ; 20.516,48 ; 21.840,68 ; 23.034,59 ; 23.636,94 ; 24.414,69 ; 26.413,43 ; 27.757,09 ; 29.068,59 ; 30.262,06 ; 31.964,78 ; 32.668,23 ; 34.761,17 ; 35.597,40 ; 36.660,19 ; 35.029,99 ; 36.367,92 ; 37.161,55 ; 38.311,90 ; 39.971,00 ; 41.265,94 ; 42.518,14 ; 44.162,55 ; 45.974,86 ; 46.956,08 ; 48.709,70 
Georgia;GEO;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 5.730,91 ; 4.641,83 ; 2.595,75 ; 1.864,29 ; 1.732,54 ; 1.884,36 ; 2.212,64 ; 2.568,64 ; 2.745,30 ; 2.924,39 ; 3.104,52 ; 3.377,05 ; 3.650,86 ; 4.157,88 ; 4.545,29 ; 5.169,06 ; 5.860,36 ; 6.810,19 ; 7.132,21 ; 6.986,00 ; 7.564,06 ; 8.360,30 ; 9.826,05 ; 10.611,77 ; 11.575,55 ; 12.089,17 ; 12.858,48 ; 13.589,71 ; 14.593,50 ; 15.636,55 
Ghana;GHA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.237,36 ; 1.308,33 ; 1.350,45 ; 1.408,69 ; 1.445,43 ; 1.495,58 ; 1.552,14 ; 1.604,15 ; 1.656,99 ; 1.712,41 ; 1.771,54 ; 1.837,25 ; 1.903,15 ; 1.989,77 ; 2.104,81 ; 2.241,29 ; 2.394,93 ; 2.500,80 ; 2.711,88 ; 2.792,97 ; 2.973,83 ; 3.379,48 ; 3.781,87 ; 5.259,62 ; 5.454,14 ; 5.117,34 ; 4.890,02 ; 4.996,64 ; 5.317,01 ; 5.636,95 
Gibraltar;GIB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 882,89 ; 910,42 ; 935,70 ; 979,76 ; 1.013,38 ; 1.054,24 ; 1.092,26 ; 1.138,43 ; 1.163,03 ; 1.195,30 ; 1.224,34 ; 1.269,80 ; 1.329,80 ; 1.345,24 ; 1.386,44 ; 1.442,76 ; 1.471,99 ; 1.578,98 ; 1.638,25 ; 1.595,24 ; 1.653,72 ; 1.743,95 ; 1.795,45 ; 1.811,33 ; 1.804,54 ; 1.819,36 ; 2.078,59 ; 2.420,60 ; 2.557,38 ; 2.670,31 
Gambia, The;GMB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.557,06 ; 1.597,73 ; 1.632,13 ; 1.666,96 ; 1.653,22 ; 1.650,92 ; 1.666,10 ; 1.723,92 ; 1.749,54 ; 1.830,71 ; 1.913,78 ; 2.004,73 ; 1.908,26 ; 2.011,81 ; 2.142,75 ; 2.091,55 ; 2.078,64 ; 2.134,52 ; 2.244,50 ; 2.341,68 ; 2.434,89 ; 2.215,75 ; 2.199,79 ; 2.121,49 ; 2.027,03 ; 2.066,86 ; 2.068,74 ; 2.072,65 ; 2.194,82 ; 2.298,38 
Guinea-Bissau;GNB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.012,67 ; 1.075,75 ; 1.087,48 ; 1.111,49 ; 1.146,37 ; 1.196,65 ; 1.333,00 ; 1.416,49 ; 1.010,41 ; 1.015,49 ; 1.072,51 ; 1.096,48 ; 1.078,80 ; 1.080,24 ; 1.113,76 ; 1.169,45 ; 1.203,45 ; 1.245,40 ; 1.278,25 ; 1.298,20 ; 1.338,98 ; 1.439,29 ; 1.355,32 ; 1.364,39 ; 1.378,23 ; 1.597,21 ; 1.746,75 ; 1.925,24 ; 1.995,17 ; 2.071,82 
Equatorial Guinea;GNQ;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 653,93 ; 648,01 ; 864,28 ; 949,74 ; 1.092,83 ; 1.264,22 ; 2.065,15 ; 5.049,63 ; 6.071,16 ; 7.429,74 ; 8.617,72 ; 13.807,94 ; 16.076,28 ; 17.891,48 ; 24.283,70 ; 27.963,07 ; 29.646,21 ; 33.506,41 ; 38.407,88 ; 37.447,51 ; 32.965,90 ; 34.280,25 ; 37.570,64 ; 34.766,01 ; 33.696,13 ; 24.042,50 ; 20.458,81 ; 22.551,08 ; 20.840,27 ; 19.327,14 
Greece;GRC;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 13.287,26 ; 13.993,44 ; 14.302,86 ; 14.322,96 ; 14.846,85 ; 15.404,30 ; 16.121,01 ; 17.150,14 ; 18.033,46 ; 18.464,73 ; 19.523,51 ; 20.963,75 ; 22.615,94 ; 23.870,51 ; 25.437,38 ; 25.577,52 ; 28.514,73 ; 29.289,81 ; 30.856,01 ; 30.388,35 ; 28.169,49 ; 26.141,32 ; 25.284,46 ; 26.097,87 ; 26.838,46 ; 26.902,53 ; 27.823,36 ; 29.089,01 ; 30.354,35 ; 31.399,42 
